id,photo,section,pagetitle,description
1,default_gallery.PNG,Academic,Curricular,"<h4 class='head4'>Academic Block:</h4> <p class='para'>This block comprises of two separate buildings namely:</p> \t <ol type='A'> <li>Junior Section</li> <li>Senior Section</li> </ol> <p class='para'><b>Junior Section:</b> This section contains:</p> \t <ol> \t\t <li>10 class-rooms for class IX,X and M.T (Mother-Tongue Urdu/Sindhi)</li> \t\t <li>03 Science Labs: Chemistry, Physics and Biology+ OICs Offices</li> \t\t <li>Language Laboratory</li> \t\t <li>Group Discussion Room</li> \t\t <li>Teachers' Common Room</li> \t\t <li>College Archive+ OIC Office</li> \t\t <li>Data Center+ OIC Office</li> \t\t <li>Computer/I.T Lab+ OIC Office</li> \t\t <li>04 offices of HODs: Maths, Chemistry, Bio and Sindhi</li> \t </ol>  <p class='para'><b>Senior Section:</b> This section consists upon:</p> \t<ol> \t\t<li>Vice Principal (Academics)'s Office</li> \t\t<li>11 class-rooms for Class VIII, XI and XII(Pre-Eng./Med. Groups)</li> \t\t<li>Computer/I.T Lab. + OIC Office</li> \t\t<li>Office of OIC Evening/Extra Coaching Classes</li> \t</ol>  <h4 class='subtopic'>Courses/Subjects Offered:</h4> <p class='para'>The College is planned to cater for formal education from Class VIII to XII. The courses offered/syllabus is based on the approved scheme of the Sindh Text Book Board, Jamshoro and is affiliated with the Board of Intermediate and Secondary Education, Larkana. The subjects offered are:</p>  \t<ol> \t\t<li>English</li> \t\t<li>Mathematics</li> \t\t<li>Chemistry</li> \t\t<li>Physics</li> \t\t<li>Biology/Zoology/Botany</li> \t\t<li>Islamiyat/Ethics/Civics</li> \t\t<li>Pakistan/Social Studies</li> \t\t<li>Urdu/Sindhi (M.T)</li> \t\t<li>Asan Sindhi/Urdu Salees (N.M.T.)</li> \t\t<li>Computer Science</li> \t</ol> \t <p class='para'><b>Examination System:</b> Contains following three stages:</p> \t<ol type='a'> \t\t<li>Monthly Tests: Held after the completion of a portion of studies.</li> \t\t<li>Terminal Tests(First & Second):Held before the end of each term.</li> \t\t<li>Annual Exams: Held after the completion of overall course.</li> \t</ol>  <h4 class='subtopic'>Facilities Offered</h4> <p class='para'><b>Curricular Facilities:</b></p> \t<ol> \t\t<li>Spacious, airy and luxurious class-rooms equipped with Interactive multimedia System & Computerized Rostrums</li> \t\t<li>Language Laboratory (Centrally air-conditioned).</li> \t\t<li>Computer/I.T. Labs. (Centrally air-conditioned).</li> \t\t<li>Library containing 40 thousand Titles (Centrally air-conditioned).</li> \t\t<li>Book-Bank provides text books, additional books and note book.</li> \t</ol> <p class='para'><b>College Publications:</b> To provide the plat-form to express the writing skills of the cadets and teachers, the College publishes following publications:</p> \t<p class='para'><b>Regular Publications:</b></p> \t<ol> \t\t<li>Lrakanians' Letter (Monthly)</li> \t\t<li>Creativity (Tri-lingual:English, Urdu and Sindhi) Quarterly</li> \t\t<li>INDUS (annually)</li> \t\t<li>New In-Take: Essays, photos, addresses & aims of lives of new entrants</li> \t\t<li>The Leader: Essays, photos, addresses & aims of lives of passing-out cadets.</li> \t</ol>"
2,default_gallery.PNG,Academic,Co-Curricular,"<h4 class='head4'>Sports Facilities:</h4> <p class='para'>To develop the overall personality of cadets, the college offers following co-curricular activities:</p> <ol class='list'> \t<li>Speech, Debate and Declamation competitions.</li> \t<li>Essay-writing competitions.</li> \t<li>Dramatic Club.</li> \t<li>Science Clubs.</li> \t<li>Philately and Numismatic Club.</li> \t<li>Art Clubs.</li> \t<li>Drawing, Painting and Calligraphy competitions.</li> \t<li>Fancy Shows.</li> \t<li>Singing and skit competitions.</li> \t<li>General Knowledge, Science, Pakistan , Islamic and Seerat Quiz.</li> \t<li>Hifz-e-Hadith, Hifz-e-Latif and Hifz-e-Iqbal competitions.</li> \t<li>Hobbies Clubs besides, inside inter-class, inter-wing and inter-house</li> \t<li>competitions, the cadets are sent to participate in above all competitions at divisional, provincial and national level also.</li> </ol>  <h4 class='subtopic'>Outdoor Games:</h4> <p class='para'>The college offers facilities for following outdoor games with coaches/training staff: Hockey, Football, Volleyball, Basketball, Athletics and Cricket.</p> <h4 class='subtopic'>Indoor Games:</h4> <p class='para'>The college offers all required facilities for indoor games like Badminton, Table Tennis, Chess and Scrabbles.</p> <h4 class='subtopic'>Swimming Pool:</h4> <p class='para'>The has a beautiful swimming pool of international standard. It is mandatory for every cadet to pass swimming tests before passing out from the college.</p> <h4 class='subtopic'>Gymkhana:</h4> <p class='para'>To keep the cadets agile, active and physically fit, the college has a well-equipped Gymkhana, where cadets do their physical exercises.</p> <h4 class='subtopic'>Military Training:</h4> <p class='para'>Military staff headed by serving Major are available for P.T, Drill and Military Training.</p> <h4 class='subtopic'>Tours and Excursions:</h4> <p class='para'>To acquaint the cadets with the environment and to enrich their curricular experiences, the College arranges tours and excursions of nearby/ surroundings areas, Cantonments, Elite Institutions, Mills and Industries, Archaeological-sites, Lower Sindh and Up-country.</p> <h4 class='subtopic'>Religious Training:</div> <p class='para'>College Offers following facilities to guide and facilitate the Cadets to attain their religious duties:</p> <ol  class='list'> \t<li>Mosque (Air-Conditioned) for five time prayers.</li> \t<li>Daily classes for Nazira/ Hifz-e-Qura'an by trained teachers.</li> \t<li>Daily classes for Namaz Training (After Isha).</li> \t<li>Friday speeches by cadets before khutaba-e-Juma.</li> </ol>"
3,default_gallery.PNG,Academic,Laboratories,This is demo page for laboratories
5,auditorium.JPG,Academic,Auditorium Jinnah,Cadet College Larkana is having a fantastic auditorium. It comprises of 600 seats along with a fine and decorated stage. Auditorium is centrally air conditioned. It is used for various indoor functions and lecturer program. It is equipped with Movie Projection setup is also used as mini theater where Educational/ Motivational/ Ethical/ Adventurous movies are shown to Cadets on the weekends.
6,library.jpg,Academic,Library,"The library of cadet college Larkana is one of the best libraries of Pakistan at intermediate level. In the library, there are about 40,000 books on various subjects; History, Geography, Economics, Chemistry, Physics, Biology, Literature, Hadith, Tafseer etc. Beside these, Magazines, Periodicals and newspapers in English, Urdu and Sindhi languages are also available, on regularly basis, for the readers. Moreover, there are four corners in the library; i.e. i) Seat Corner  ii) Latif Corner iii) Iqbal Corner iv) Dr. N.A Baloch Corner. In these corners, the books are related to the respective personalities' lives and their accomplishments. <br><br>The most noteworthy point of the library is its open access. The reader comes, select a book for reading and pick it for reading in the library without any hindrance. In order to make the cadets habitual of reading, two periods per week are allotted to every class. They have right to borrow a book of the library for 15 days."
7,archives.jpg,Academic,Archives,"Cadet College Larkana has a very beautiful Archive. It comprises video, audio and photo library record since the inception of the College. It also includes the corners of armed forces as Pakistan army, Navy and Air force in which the samples of armed instruments are stored like bullet, hand grenade, marine shell, airplane, navy ships, fighter jets etc. There is also a portion for Art Gallery in which various monuments, paintings, and different crafts are kept made by the Cadets."
8,artclub.JPG,Academic,Clubs,"<h4 class='subtopic'>Art & Craft Club</h4>  Arts and crafts club established in September 1994 for teaching voluntary to members (cadets ) of the club; wood, steel, stone, jipsim, terra cotta work with painting, sculpture, reliet work, calligraphy in many subjects a and methods (School of thoughts and themes) with handi cashing work and quines making. <br><br>The founder of club is Gul Muhammad Abbasi alias Anees Gul Abbasi Assistant Professor in sindhi and well known poet and jewellery worker (Gold smith ) of Sindh with cooperation of Mr. Muhammad Zafar Iqbal (Art teacher in college). Now a day Mr.Muhammad Zafar Iqbal is incharge arts club separately and Mr. Anees is incharge crafts club. The arts and crafts club is only single club, which is active in its activities full time and whole the working year in cadet college Larkana. "
9,swimmingpool.JPG,Academic,Swimming Pool,Cadet College Larkana has a beautiful & fine Swimming pool fulfilling the need of professional swimmers need. It is designed and developed for day and night swimming having the huge water filtration plant. Staff is available 24/7 to maintain the standard of swimming pool. <br><br>Cadets are taught professional swimming; no Cadet is passed out until and unless he dives from the dive board in the pool. Inter-House and Inter-Colleges swimming competitions are held every year.
10,physics.JPG,Laboratories,Physics,"Science is incomplete without experiments and physics labs use for the experimental studies. In physics lab all the apparatus which are required for the class of X to XII are available and having waste area as whole class can easily perform the experiment. Therefore, cadets are taking keen interest in performing experiment in lab, which support them to memorize the concepts of the all topics which are given there in the text books .so that physics lab is playing vital role in the quality education."
11,chemistry.jpg,Laboratories,Chemistry,"College has a beautiful Chemistry Lab where Students perform various experiments at their own and make many things as their hobbies. Laboratory is equipped with Multimedia Projection.<br><br>To facilitate cadets to perform practical's in easy way with their own hand, with all modern facilities to meet the modern standards of the globe."
