fileid,etag,mtime,name,path,size,parent,mimepart,mimetype,storage,encrypted,path_hash,checksum,permissions,storage_mtime,unencrypted_size
1,672c8c3947a85,1730972729,<blank>,<blank>,0,-1,1,2,2,0,d41d8cd98f00b204e9800998ecf8427e (<empty>),<blank>,23,1730438855,0
2,672c8c3941e63,1730703663,appdata_ocq4mclqdbn5,appdata_ocq4mclqdbn5,0,1,1,2,2,0,ceaf5156316cf17edcd1d7d25d2e50ac,<blank>,31,1730703663,0
3,672466c71010f,1730438855,theming,appdata_ocq4mclqdbn5/theming,0,2,1,2,2,0,bb6601b34411e853f9885ecb1a1dbff9,<blank>,31,1730438855,0
4,672466c712eaf,1730439365,global,appdata_ocq4mclqdbn5/theming/global,0,3,1,2,2,0,f21808855594cde6d648d0678b039896,<blank>,31,1730439365,0
5,6746c3aebe066,1732690862,<blank>,<blank>,43915992,-1,1,2,1,0,d41d8cd98f00b204e9800998ecf8427e (<empty>),<blank>,23,1732601311,0
6,67456912e0ca7,1732602130,files,files,39575871,5,1,2,1,0,45b963397aa40d4a0063e0d85e4fe7a1 (files),<blank>,31,1732602128,0
7,741d054474b433ad019498647783a6e8,1729503350,Nextcloud intro.mp4,files/Nextcloud intro.mp4,3963036,6,16,17,1,0,e4919345bcc87d4585a5525daaad99c0,<blank>,27,1729503350,0
8,67455ddb2840d,1732599259,Documents,files/Documents,4435413,6,1,2,1,0,0ad78ba05b6961d92f7970b2b3922eca,<blank>,31,1730705484,0
9,6020e7676caec50f4c1792307bca148c,1729503348,Nextcloud.png,files/Nextcloud.png,50598,6,8,9,1,0,2bcc0ff06465ef1bfc4a868efde1e485,<blank>,27,1729503348,0
10,65cc2c9d25b2ae60bcb26d88a0c82391,1729503348,Reasons to use Nextcloud.pdf,files/Reasons to use Nextcloud.pdf,976625,6,5,7,1,0,418b19142a61c5bef296ea56ee144ca3,<blank>,27,1729503348,0
11,028d393556394c2faaf4f2da1948cf1a,1729503350,Templates credits.md,files/Templates credits.md,2403,6,3,4,1,0,f7c01e3e0b55bb895e09dc08d19375b3,<blank>,27,1729503350,0
12,6727db7dd6b14,1730665341,Photos,files/Photos,5783306,6,1,2,1,0,d01bb67e7b71dd49fd06bad922f521c9,<blank>,31,1730665341,0
13,843493d37ad1b10b006546d6dd5ca748,1729503348,Nextcloud Manual.pdf,files/Nextcloud Manual.pdf,12860592,6,5,7,1,0,2bc58a43566a8edde804a4a97a9c7469,<blank>,27,1729503348,0
14,12cc90cda0c984e509a770f74f44a397,1729503348,Readme.md,files/Readme.md,206,6,3,4,1,0,49af83716f8dcbfa89aaf835241c0b9f,<blank>,27,1729503348,0
15,672468b79fb13,1730438842,Templates,files/Templates,10942115,6,1,2,1,0,530b342d0b8164ff3b4754c2273a453e,<blank>,31,1730438842,0
16,409b05982b06d81f4573f32633db2b50,1729503348,Example.md,files/Documents/Example.md,1095,8,3,4,1,0,efe0853470dd0663db34818b444328dd,<blank>,27,1729503348,0
17,c6337d47722948c6ba344084e0395aaa,1729503348,Readme.md,files/Documents/Readme.md,136,8,3,4,1,0,51ec9e44357d147dd5c212b850f6910f,<blank>,27,1729503348,0
18,0218878fc09f12afd2e46ad24594bfb5,1729503348,Nextcloud flyer.pdf,files/Documents/Nextcloud flyer.pdf,1083339,8,5,7,1,0,9c5b4dc7182a7435767708ac3e8d126c,<blank>,27,1729503348,0
19,b3d845c84254e6a8a68b8b9988bf557a,1730660897,Welcome to Nextcloud Hub.docx,files/Documents/Welcome to Nextcloud Hub.docx,23894,8,5,6,1,0,b44cb84f22ceddc4ca2826e026038091,<blank>,27,1730660897,0
20,938e45a2c453a17b0dee2fd13974931b,1729503348,Toucan.jpg,files/Photos/Toucan.jpg,167989,12,8,10,1,0,681d1e78f46a233e12ecfa722cbc2aef,<blank>,27,1729503348,0
21,bf66745d1590c765fcffb1f6c04e5394,1729503348,Frog.jpg,files/Photos/Frog.jpg,457744,12,8,10,1,0,d6219add1a9129ed0c1513af985e2081,<blank>,27,1729503348,0
22,84126b0a51cae2777ffaf5664c9831ed,1729503348,Vineyard.jpg,files/Photos/Vineyard.jpg,427030,12,8,10,1,0,14e5f2670b0817614acd52269d971db8,<blank>,27,1729503348,0
23,41c8d8e0e7533786efccd935fa95cb72,1729503348,Steps.jpg,files/Photos/Steps.jpg,567689,12,8,10,1,0,7b2ca8d05bbad97e00cbf5833d43e912,<blank>,27,1729503348,0
24,904ebc8110ce771e96a5301647ba2d64,1729503348,Library.jpg,files/Photos/Library.jpg,2170375,12,8,10,1,0,0b785d02a19fc00979f82f6b54a05805,<blank>,27,1729503348,0
25,6ee774fd46608de78253df59720a68d4,1729503348,Readme.md,files/Photos/Readme.md,150,12,3,4,1,0,2a4ac36bb841d25d06d164f291ee97db,<blank>,27,1729503348,0
26,8e15c7be48d55b187d5cdec9ec85ff06,1729503348,Birdie.jpg,files/Photos/Birdie.jpg,593508,12,8,10,1,0,cd31c7af3a0ec6e15782b5edd2774549,<blank>,27,1729503348,0
27,651e8ad47356631d993f79f03920f1d0,1729503348,Nextcloud community.jpg,files/Photos/Nextcloud community.jpg,797325,12,8,10,1,0,b9b3caef83a2a1c20354b98df6bcd9d0,<blank>,27,1729503348,0
28,25d8bf40af23873114c006d2be139ca7,1729503348,Gorilla.jpg,files/Photos/Gorilla.jpg,474653,12,8,10,1,0,6d5f5956d8ff76a5f290cebb56402789,<blank>,27,1729503348,0
29,8aafa0bb159766dd915b4378459f28a8,1729503350,Elegant.odp,files/Templates/Elegant.odp,14316,15,5,15,1,0,f3ec70ed694c0ca215f094b98eb046a7,<blank>,27,1729503350,0
