id,file_id,json,sync_token,last_update
1,8,"{""photos-original_date_time"":{""value"":1730438842,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-size"":{""value"":{""width"":500,""height"":500},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",THpeqQm,2024-11-01 06:27:22
2,10,"{""photos-original_date_time"":{""value"":1372319469,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""1\\/160"",""FNumber"":""4\\/1"",""ExposureProgram"":3,""ISOSpeedRatings"":100,""ExifVersion"":""0230"",""DateTimeOriginal"":""2013:06:27 07:51:09"",""DateTimeDigitized"":""2013:06:27 07:51:09"",""ComponentsConfiguration"":"""",""ShutterSpeedValue"":""59\\/8"",""ApertureValue"":""4\\/1"",""ExposureBiasValue"":""2\\/3"",""MaxApertureValue"":""4\\/1"",""MeteringMode"":5,""Flash"":16,""FocalLength"":""45\\/1"",""SubSecTime"":""00"",""SubSecTimeOriginal"":""00"",""SubSecTimeDigitized"":""00"",""FlashPixVersion"":""0100"",""ColorSpace"":1,""ExifImageWidth"":1200,""ExifImageLength"":1800,""FocalPlaneXResolution"":""382423\\/97"",""FocalPlaneYResolution"":""185679\\/47"",""FocalPlaneResolutionUnit"":2,""CustomRendered"":0,""ExposureMode"":0,""WhiteBalance"":0,""SceneCaptureType"":0,""UndefinedTag__xA___"":""000052602c""},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""Make"":""Canon"",""Model"":""Canon EOS 5D Mark III"",""Orientation"":1,""XResolution"":""72\\/1"",""YResolution"":""72\\/1"",""ResolutionUnit"":2,""Software"":""Aperture 3.4.5"",""DateTime"":""2013:06:27 07:51:09"",""Exif_IFD_Pointer"":202},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1200,""height"":1800},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",T3sr2iB,2024-11-01 06:27:22
3,11,"{""photos-original_date_time"":{""value"":1341059531,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""1\\/125"",""FNumber"":""28\\/5"",""ExposureProgram"":3,""ISOSpeedRatings"":320,""UndefinedTag__x____"":320,""ExifVersion"":""0230"",""DateTimeOriginal"":""2012:06:30 12:32:11"",""DateTimeDigitized"":""2012:06:30 12:32:11"",""ComponentsConfiguration"":"""",""ShutterSpeedValue"":""7\\/1"",""ApertureValue"":""5\\/1"",""ExposureBiasValue"":""0\\/1"",""MaxApertureValue"":""189284\\/33461"",""MeteringMode"":5,""Flash"":16,""FocalLength"":""280\\/1"",""SubSecTime"":""83"",""SubSecTimeOriginal"":""83"",""SubSecTimeDigitized"":""83"",""FlashPixVersion"":""0100"",""ColorSpace"":1,""ExifImageWidth"":1600,""ExifImageLength"":1067,""FocalPlaneXResolution"":""1920000\\/487"",""FocalPlaneYResolution"":""320000\\/81"",""FocalPlaneResolutionUnit"":2,""CustomRendered"":0,""ExposureMode"":0,""WhiteBalance"":0,""SceneCaptureType"":0,""UndefinedTag__xA___"":""0000000000""},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""Make"":""Canon"",""Model"":""Canon EOS 5D Mark III"",""Orientation"":1,""XResolution"":""72\\/1"",""YResolution"":""72\\/1"",""ResolutionUnit"":2,""DateTime"":""2012:06:30 12:32:11"",""Exif_IFD_Pointer"":174},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1600,""height"":1067},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",lKhAC1y,2024-11-01 06:27:22
4,13,"{""photos-original_date_time"":{""value"":1730438842,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-size"":{""value"":{""width"":3000,""height"":2000},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",yxhvPVN,2024-11-01 06:27:22
5,14,"{""photos-original_date_time"":{""value"":1341258636,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""1\\/80"",""FNumber"":""4\\/1"",""ExposureProgram"":3,""ISOSpeedRatings"":400,""ExifVersion"":""0230"",""DateTimeOriginal"":""2012:07:02 19:50:36"",""DateTimeDigitized"":""2012:07:02 19:50:36"",""ComponentsConfiguration"":"""",""ShutterSpeedValue"":""51\\/8"",""ApertureValue"":""4\\/1"",""ExposureBiasValue"":""0\\/1"",""MaxApertureValue"":""4\\/1"",""MeteringMode"":5,""Flash"":16,""FocalLength"":""32\\/1"",""SubSecTime"":""00"",""SubSecTimeOriginal"":""00"",""SubSecTimeDigitized"":""00"",""FlashPixVersion"":""0100"",""ColorSpace"":1,""ExifImageWidth"":1600,""ExifImageLength"":1066,""FocalPlaneXResolution"":""382423\\/97"",""FocalPlaneYResolution"":""185679\\/47"",""FocalPlaneResolutionUnit"":2,""CustomRendered"":0,""ExposureMode"":0,""WhiteBalance"":0,""SceneCaptureType"":0},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""Make"":""Canon"",""Model"":""Canon EOS 5D Mark III"",""Orientation"":1,""XResolution"":""72\\/1"",""YResolution"":""72\\/1"",""ResolutionUnit"":2,""Software"":""GIMP 2.8.0"",""DateTime"":""2012:07:02 22:06:14"",""Exif_IFD_Pointer"":198},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1600,""height"":1066},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",dJI8wOZ,2024-11-01 06:27:22
6,15,"{""photos-original_date_time"":{""value"":1444907264,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""1\\/320"",""FNumber"":""4\\/1"",""ExposureProgram"":3,""ISOSpeedRatings"":640,""UndefinedTag__x____"":640,""ExifVersion"":""0230"",""DateTimeOriginal"":""2015:10:15 11:07:44"",""DateTimeDigitized"":""2015:10:15 11:07:44"",""ShutterSpeedValue"":""27970\\/3361"",""ApertureValue"":""4\\/1"",""ExposureBiasValue"":""1\\/3"",""MaxApertureValue"":""4\\/1"",""MeteringMode"":5,""Flash"":16,""FocalLength"":""200\\/1"",""SubSecTimeOriginal"":""63"",""SubSecTimeDigitized"":""63"",""ColorSpace"":1,""ExifImageWidth"":1600,""ExifImageLength"":1067,""FocalPlaneXResolution"":""1600\\/1"",""FocalPlaneYResolution"":""1600\\/1"",""FocalPlaneResolutionUnit"":3,""CustomRendered"":0,""ExposureMode"":0,""WhiteBalance"":0,""SceneCaptureType"":0,""UndefinedTag__xA___"":""000084121f""},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""Make"":""Canon"",""Model"":""Canon EOS 5D Mark III"",""Orientation"":1,""XResolution"":""240\\/1"",""YResolution"":""240\\/1"",""ResolutionUnit"":2,""Software"":""Adobe Photoshop Lightroom 6.2.1 (Macintosh)"",""DateTime"":""2015:10:16 14:40:21"",""Exif_IFD_Pointer"":230},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1600,""height"":1067},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",ZUJoQ1w,2024-11-01 06:27:22
7,16,"{""photos-original_date_time"":{""value"":1341064060,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""1\\/640"",""FNumber"":""28\\/5"",""ExposureProgram"":1,""ISOSpeedRatings"":12800,""ExifVersion"":""0230"",""DateTimeOriginal"":""2012:06:30 13:47:40"",""DateTimeDigitized"":""2012:06:30 13:47:40"",""ComponentsConfiguration"":"""",""ShutterSpeedValue"":""75\\/8"",""ApertureValue"":""5\\/1"",""ExposureBiasValue"":""0\\/1"",""MaxApertureValue"":""6149\\/1087"",""MeteringMode"":5,""Flash"":16,""FocalLength"":""235\\/1"",""SubSecTime"":""00"",""SubSecTimeOriginal"":""00"",""SubSecTimeDigitized"":""00"",""FlashPixVersion"":""0100"",""ExifImageWidth"":1600,""ExifImageLength"":1067,""FocalPlaneXResolution"":""382423\\/97"",""FocalPlaneYResolution"":""134321\\/34"",""FocalPlaneResolutionUnit"":2,""CustomRendered"":0,""ExposureMode"":1,""WhiteBalance"":0,""SceneCaptureType"":0},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""Make"":""Canon"",""Model"":""Canon EOS 5D Mark III"",""Orientation"":1,""XResolution"":""72\\/1"",""YResolution"":""72\\/1"",""ResolutionUnit"":2,""Software"":""Aperture 3.3.1"",""DateTime"":""2012:06:30 13:47:40"",""Exif_IFD_Pointer"":202},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1600,""height"":1067},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",JtQkpXh,2024-11-01 06:27:22
8,17,"{""photos-original_date_time"":{""value"":1341072915,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""1\\/500"",""FNumber"":""28\\/5"",""ExposureProgram"":1,""ISOSpeedRatings"":8000,""ExifVersion"":""0230"",""DateTimeOriginal"":""2012:06:30 16:15:15"",""DateTimeDigitized"":""2012:06:30 16:15:15"",""ComponentsConfiguration"":"""",""ShutterSpeedValue"":""9\\/1"",""ApertureValue"":""5\\/1"",""ExposureBiasValue"":""0\\/1"",""MaxApertureValue"":""6149\\/1087"",""MeteringMode"":5,""Flash"":16,""FocalLength"":""280\\/1"",""SubSecTime"":""00"",""SubSecTimeOriginal"":""00"",""SubSecTimeDigitized"":""00"",""FlashPixVersion"":""0100"",""ColorSpace"":1,""ExifImageWidth"":1600,""ExifImageLength"":1067,""FocalPlaneXResolution"":""382423\\/97"",""FocalPlaneYResolution"":""134321\\/34"",""FocalPlaneResolutionUnit"":2,""CustomRendered"":0,""ExposureMode"":1,""WhiteBalance"":0,""SceneCaptureType"":0},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""Make"":""Canon"",""Model"":""Canon EOS 5D Mark III"",""Orientation"":1,""XResolution"":""72\\/1"",""YResolution"":""72\\/1"",""ResolutionUnit"":2,""Software"":""Aperture 3.3.1"",""DateTime"":""2012:06:30 16:15:15"",""Exif_IFD_Pointer"":202},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1600,""height"":1067},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",uTx7hkv,2024-11-01 06:27:22
9,18,"{""photos-original_date_time"":{""value"":1526500980,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0},""photos-exif"":{""value"":{""ExposureTime"":""10\\/12500"",""FNumber"":""35\\/10"",""ExposureProgram"":3,""ISOSpeedRatings"":100,""DateTimeOriginal"":""2018:05:16 20:03:00"",""DateTimeDigitized"":""2018:05:16 20:03:00"",""ExposureBiasValue"":""0\\/6"",""MaxApertureValue"":""30\\/10"",""MeteringMode"":5,""LightSource"":0,""Flash"":16,""FocalLength"":""700\\/10"",""MakerNote"":""Nikon"",""UserComment"":""Christoph WurstCC-SA 4.0"",""SubSecTime"":""30"",""SubSecTimeOriginal"":""30"",""SubSecTimeDigitized"":""30"",""ColorSpace"":1,""SensingMethod"":2,""FileSource"":"""",""SceneType"":"""",""CustomRendered"":0,""ExposureMode"":0,""WhiteBalance"":0,""DigitalZoomRatio"":""1\\/1"",""FocalLengthIn__mmFilm"":70,""SceneCaptureType"":0,""GainControl"":0,""Contrast"":1,""Saturation"":0,""Sharpness"":1,""SubjectDistanceRange"":0},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-ifd0"":{""value"":{""ImageDescription"":""Christoph WurstCC-SA 4.0"",""Make"":""NIKON CORPORATION"",""Model"":""NIKON D610"",""Orientation"":1,""XResolution"":""72\\/1"",""YResolution"":""72\\/1"",""ResolutionUnit"":2,""Software"":""GIMP 2.10.14"",""DateTime"":""2019:12:10 08:51:16"",""Artist"":""Christoph Wurst                     "",""Copyright"":""Christoph Wurst                                       "",""Exif_IFD_Pointer"":402,""GPS_IFD_Pointer"":13738,""DateTimeOriginal"":""2018:05:16 20:03:00""},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0},""photos-size"":{""value"":{""width"":1920,""height"":1281},""type"":""array"",""etag"":"""",""indexed"":false,""editPermission"":0}}",WmtHbkI,2024-11-01 06:27:22
10,56,"{""photos-original_date_time"":{""value"":1730438842,""type"":""int"",""etag"":"""",""indexed"":true,""editPermission"":0}}",9tzXVsj,2024-11-01 06:27:22
