id,file_id,size,metadata,mimetype,timestamp
1,4,1095,"{""author"": ""admin""}",4,1730438842
2,5,136,"{""author"": ""admin""}",4,1730438842
3,6,24295,"{""author"": ""admin""}",6,1730438842
5,8,50598,"{""author"": ""admin""}",9,1730438842
6,10,567689,"{""author"": ""admin""}",10,1730438842
7,11,593508,"{""author"": ""admin""}",10,1730438842
8,12,150,"{""author"": ""admin""}",4,1730438842
10,14,2170375,"{""author"": ""admin""}",10,1730438842
11,15,167989,"{""author"": ""admin""}",10,1730438842
12,16,474653,"{""author"": ""admin""}",10,1730438842
13,17,457744,"{""author"": ""admin""}",10,1730438842
15,19,206,"{""author"": ""admin""}",4,1730438842
16,20,12860592,"{""author"": ""admin""}",7,1730438842
17,21,976625,"{""author"": ""admin""}",7,1730438842
18,23,15961,"{""author"": ""admin""}",11,1730438842
19,24,27629,"{""author"": ""admin""}",12,1730438842
20,25,45778,"{""author"": ""admin""}",12,1730438842
21,26,13441,"{""author"": ""admin""}",13,1730438842
22,27,340061,"{""author"": ""admin""}",11,1730438842
23,28,13653,"{""author"": ""admin""}",14,1730438842
24,29,30290,"{""author"": ""admin""}",12,1730438842
25,30,554,"{""author"": ""admin""}",4,1730438842
26,31,17276,"{""author"": ""admin""}",11,1730438842
27,32,13878,"{""author"": ""admin""}",14,1730438842
28,33,14316,"{""author"": ""admin""}",15,1730438842
29,34,30354,"{""author"": ""admin""}",11,1730438842
30,35,3509628,"{""author"": ""admin""}",15,1730438842
31,36,317015,"{""author"": ""admin""}",15,1730438842
32,37,39404,"{""author"": ""admin""}",11,1730438842
33,38,31325,"{""author"": ""admin""}",12,1730438842
34,39,16988,"{""author"": ""admin""}",14,1730438842
35,40,868111,"{""author"": ""admin""}",11,1730438842
36,41,31132,"{""author"": ""admin""}",12,1730438842
37,42,88394,"{""author"": ""admin""}",13,1730438842
38,43,5155877,"{""author"": ""admin""}",11,1730438842
39,44,25621,"{""author"": ""admin""}",12,1730438842
40,45,23359,"{""author"": ""admin""}",12,1730438842
41,46,13378,"{""author"": ""admin""}",13,1730438842
42,47,52843,"{""author"": ""admin""}",13,1730438842
43,48,326,"{""author"": ""admin""}",4,1730438842
44,49,35657,"{""author"": ""admin""}",12,1730438842
45,50,14810,"{""author"": ""admin""}",15,1730438842
46,51,573,"{""author"": ""admin""}",4,1730438842
47,52,11836,"{""author"": ""admin""}",14,1730438842
48,53,81196,"{""author"": ""admin""}",15,1730438842
49,54,30780,"{""author"": ""admin""}",12,1730438842
50,55,30671,"{""author"": ""admin""}",12,1730438842
51,56,3963036,"{""author"": ""admin""}",17,1730438842
52,57,2403,"{""author"": ""admin""}",4,1730438842
53,7,3963036,[],17,1729503350
59,657,490141,"{""author"":""admin""}",6,1710701264
60,667,490141,"{""author"":""admin""}",6,1710701280
61,674,60136,"{""author"":""admin""}",6,1725652572
62,684,17816,"{""author"":""admin""}",33,1724162168
63,695,54551,"{""author"":""admin""}",6,1728116141
64,705,94720,"{""author"":""admin""}",34,1725652781
65,19,23894,"{""author"":""admin""}",6,1730660897
68,734,1313792,"{""author"":""admin""}",35,1730664502
