app,version
activity,2006Date20170808154933
activity,2006Date20170808155040
activity,2006Date20170919095939
activity,2007Date20181107114613
activity,2008Date20181011095117
activity,2010Date20190416112817
activity,2011Date20201006132544
activity,2011Date20201006132545
activity,2011Date20201006132546
activity,2011Date20201006132547
activity,2011Date20201207091915
app_api,1000Date202305221555
app_api,1004Date202311061844
app_api,1005Date202312271744
app_api,1006Date202401011308
app_api,1007Date202401111030
app_api,1008Date202401121205
app_api,2000Date20240120094952
app_api,2005Date20240209094951
app_api,2200Date20240216164351
app_api,2201Date20240221124152
app_api,2203Date20240325124149
app_api,2204Date20240401104001
app_api,2204Date20240403125002
app_api,2205Date20240411124836
app_api,2206Date20240502145029
app_api,2207Date20240502145029
app_api,2700Date20240515092246
app_api,2800Date20240710220000
app_api,2800Date20240711080316
app_api,3000Date20240715170800
app_api,3000Date20240807085759
app_api,3100Date20240822080316
app_api,3200Date20240905080316
calendar,2040Date20210908101001
calendar,3000Date20211109132439
calendar,3010Date20220111090252
calendar,4050Date20230614163505
circles,0022Date20220526111723
circles,0022Date20220526113601
circles,0022Date20220703115023
circles,0023Date20211216113101
circles,0024Date20220203123901
circles,0024Date20220203123902
circles,0024Date20220317190331
circles,0028Date20230705222601
contactsinteraction,010000Date20200304152605
core,13000Date20170705121758
core,13000Date20170718121200
core,13000Date20170814074715
core,13000Date20170919121250
core,13000Date20170926101637
core,14000Date20180129121024
core,14000Date20180404140050
core,14000Date20180516101403
core,14000Date20180518120534
core,14000Date20180522074438
core,14000Date20180626223656
core,14000Date20180710092004
core,14000Date20180712153140
core,15000Date20180926101451
core,15000Date20181015062942
core,15000Date20181029084625
core,16000Date20190207141427
core,16000Date20190212081545
core,16000Date20190427105638
core,16000Date20190428150708
core,17000Date20190514105811
core,18000Date20190920085628
core,18000Date20191014105105
core,18000Date20191204114856
core,19000Date20200211083441
core,20000Date20201109081915
core,20000Date20201109081918
core,20000Date20201109081919
core,20000Date20201111081915
core,21000Date20201120141228
core,21000Date20201202095923
core,21000Date20210119195004
core,21000Date20210309185126
core,21000Date20210309185127
core,22000Date20210216080825
core,23000Date20210721100600
core,23000Date20210906132259
core,23000Date20210930122352
core,23000Date20211203110726
core,23000Date20211213203940
core,24000Date20211210141942
core,24000Date20211213081506
core,24000Date20211213081604
core,24000Date20211222112246
core,24000Date20211230140012
core,24000Date20220131153041
core,24000Date20220202150027
core,24000Date20220404230027
core,24000Date20220425072957
core,25000Date20220515204012
core,25000Date20220602190540
core,25000Date20220905140840
core,25000Date20221007010957
core,27000Date20220613163520
core,27000Date20230309104325
core,27000Date20230309104802
core,28000Date20230616104802
core,28000Date20230728104802
core,28000Date20230803221055
