id,mimetype
5,application
27,application/font-sfnt
20,application/gzip
18,application/javascript
21,application/json
34,application/msword
19,application/octet-stream
7,application/pdf
12,application/vnd.excalidraw+json
35,application/vnd.ms-powerpoint
14,application/vnd.oasis.opendocument.graphics
31,application/vnd.oasis.opendocument.graphics-template
15,application/vnd.oasis.opendocument.presentation
30,application/vnd.oasis.opendocument.presentation-template
13,application/vnd.oasis.opendocument.spreadsheet
29,application/vnd.oasis.opendocument.spreadsheet-template
11,application/vnd.oasis.opendocument.text
28,application/vnd.oasis.opendocument.text-template
33,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
6,application/vnd.openxmlformats-officedocument.wordprocessingml.document
1,httpd
2,httpd/unix-directory
8,image
23,image/heic
10,image/jpeg
9,image/png
22,image/svg+xml
24,image/webp
3,text
4,text/markdown
32,text/plain
16,video
17,video/mp4
25,video/quicktime
26,video/webm

