meta_id,post_id,meta_key,meta_value
1,2,_wp_page_template,default
2,3,_wp_page_template,default
3,1,_siteseo_readibility_data,"a:2:{s:16:""paragraph_length"";i:15;s:13:""passive_voice"";a:2:{s:17:""passive_sentences"";i:0;s:15:""total_sentences"";i:3;}}"
4,6,_wp_attached_file,2025/04/course6.jpg
5,6,pagelayer_image_md5,9c912ab744312ec99a7b3727b9ab0122
6,6,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/course6.jpg"";s:8:""filesize"";i:30388;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""course6-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15049;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""course6-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7033;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
7,7,_wp_attached_file,2025/04/logo.png
8,7,pagelayer_image_md5,1ede70caae26709bf560516c593729c8
9,7,_wp_attachment_metadata,"a:6:{s:5:""width"";i:150;s:6:""height"";i:150;s:4:""file"";s:16:""2025/04/logo.png"";s:8:""filesize"";i:11698;s:5:""sizes"";a:0:{}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
10,8,_wp_attached_file,2025/04/course5.jpg
11,8,pagelayer_image_md5,f623e8108a60474877c464ae805b05c6
12,8,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/course5.jpg"";s:8:""filesize"";i:33017;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""course5-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:16508;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""course5-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7773;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
13,9,_wp_attached_file,2025/04/about2.png
14,9,pagelayer_image_md5,7844232ada187cf00ee35ef434f56801
15,9,_wp_attachment_metadata,"a:6:{s:5:""width"";i:426;s:6:""height"";i:640;s:4:""file"";s:18:""2025/04/about2.png"";s:8:""filesize"";i:74858;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:18:""about2-200x300.png"";s:5:""width"";i:200;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:78753;}s:9:""thumbnail"";a:5:{s:4:""file"";s:18:""about2-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:32148;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
16,10,_wp_attached_file,2025/04/bg.png
17,10,pagelayer_image_md5,6c9ffbc102f0f658cd489ec462401696
18,10,_wp_attachment_metadata,"a:6:{s:5:""width"";i:1000;s:6:""height"";i:447;s:4:""file"";s:14:""2025/04/bg.png"";s:8:""filesize"";i:8577;s:5:""sizes"";a:3:{s:6:""medium"";a:5:{s:4:""file"";s:14:""bg-300x134.png"";s:5:""width"";i:300;s:6:""height"";i:134;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:9838;}s:9:""thumbnail"";a:5:{s:4:""file"";s:14:""bg-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:16587;}s:12:""medium_large"";a:5:{s:4:""file"";s:14:""bg-768x343.png"";s:5:""width"";i:768;s:6:""height"";i:343;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:125704;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
19,11,_wp_attached_file,2025/04/about3.jpg
20,11,pagelayer_image_md5,ff22d7349de519d1cfc3edbecc3cb881
21,11,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:18:""2025/04/about3.jpg"";s:8:""filesize"";i:30533;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:18:""about3-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15194;}s:9:""thumbnail"";a:5:{s:4:""file"";s:18:""about3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7585;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
22,12,_wp_attached_file,2025/04/about1.jpg
23,12,pagelayer_image_md5,ea4ce172dbb9967280e376fe78d91c9d
