ID,guid,pinged,to_ping,post_date,post_name,post_type,menu_order,post_title,ping_status,post_author,post_parent,post_status,post_content,post_excerpt,comment_count,post_date_gmt,post_modified,post_password,comment_status,post_mime_type,post_modified_gmt,post_content_filtered
1,https://echallan.ccl.edu.pk/?p=1,<blank>,<blank>,2025-04-24 07:28:15,hello-world,post,0,Hello world!,open,1,0,publish,"<!-- wp:paragraph -->\n<p>Welcome to WordPress. This is your first post. Edit or delete it, then start writing!</p>\n<!-- /wp:paragraph -->",<blank>,1,2025-04-24 07:28:15,2025-04-24 07:28:15,<blank>,open,<blank>,2025-04-24 07:28:15,<blank>
2,https://echallan.ccl.edu.pk/?page_id=2,<blank>,<blank>,2025-04-24 07:28:15,sample-page,page,0,Sample Page,open,1,0,publish,"<!-- wp:paragraph -->\n<p>This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:quote -->\n<blockquote class=""wp-block-quote""><p>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi\xf1a coladas. (And gettin' caught in the rain.)</p></blockquote>\n<!-- /wp:quote -->\n\n<!-- wp:paragraph -->\n<p>...or something like this:</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:quote -->\n<blockquote class=""wp-block-quote""><p>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</p></blockquote>\n<!-- /wp:quote -->\n\n<!-- wp:paragraph -->\n<p>As a new WordPress user, you should go to <a href=""https://echallan.ccl.edu.pk/wp-admin/"">your dashboard</a> to delete this page and create new pages for your content. Have fun!</p>\n<!-- /wp:paragraph -->",<blank>,0,2025-04-24 07:28:15,2025-04-24 07:28:15,<blank>,closed,<blank>,2025-04-24 07:28:15,<blank>
3,https://echallan.ccl.edu.pk/?page_id=3,<blank>,<blank>,2025-04-24 07:28:15,privacy-policy,page,0,Privacy Policy,open,1,0,draft,"<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Who we are</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Our website address is: https://echallan.ccl.edu.pk.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Comments</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor’s IP address and browser user agent string to help spam detection.</p>\n<!-- /wp:paragraph -->\n<!-- wp:paragraph -->\n<p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https://automattic.com/privacy/. After approval of your comment, your profile picture is visible to the public in the context of your comment.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Media</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Cookies</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.</p>\n<!-- /wp:paragraph -->\n<!-- wp:paragraph -->\n<p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.</p>\n<!-- /wp:paragraph -->\n<!-- wp:paragraph -->\n<p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select ""Remember Me"", your login will persist for two weeks. If you log out of your account, the login cookies will be removed.</p>\n<!-- /wp:paragraph -->\n<!-- wp:paragraph -->\n<p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Embedded content from other websites</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.</p>\n<!-- /wp:paragraph -->\n<!-- wp:paragraph -->\n<p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Who we share your data with</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you request a password reset, your IP address will be included in the reset email.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">How long we retain your data</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.</p>\n<!-- /wp:paragraph -->\n<!-- wp:paragraph -->\n<p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">What rights you have over your data</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.</p>\n<!-- /wp:paragraph -->\n<!-- wp:heading -->\n<h2 class=""wp-block-heading"">Where your data is sent</h2>\n<!-- /wp:heading -->\n<!-- wp:paragraph -->\n<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Visitor comments may be checked through an automated spam detection service.</p>\n<!-- /wp:paragraph -->\n",<blank>,0,2025-04-24 07:28:15,2025-04-24 07:28:15,<blank>,closed,<blank>,2025-04-24 07:28:15,<blank>
4,https://echallan.ccl.edu.pk/2025/04/24/navigation/,<blank>,<blank>,2025-04-24 07:28:19,navigation,wp_navigation,0,Navigation,closed,0,0,publish,<!-- wp:page-list /-->,<blank>,0,2025-04-24 07:28:19,2025-04-24 07:28:19,<blank>,closed,<blank>,2025-04-24 07:28:19,<blank>
6,https://echallan.ccl.edu.pk/wp-content/uploads/2025/04/course6.jpg,<blank>,<blank>,2025-04-24 07:52:45,course6,attachment,0,course6,closed,1,0,inherit,<blank>,<blank>,0,2025-04-24 07:52:45,2025-04-24 07:52:45,<blank>,open,image/jpeg,2025-04-24 07:52:45,<blank>
7,https://echallan.ccl.edu.pk/wp-content/uploads/2025/04/logo.png,<blank>,<blank>,2025-04-24 07:52:45,logo,attachment,0,logo,closed,1,0,inherit,<blank>,<blank>,0,2025-04-24 07:52:45,2025-04-24 07:52:45,<blank>,open,image/png,2025-04-24 07:52:45,<blank>
8,https://echallan.ccl.edu.pk/wp-content/uploads/2025/04/course5.jpg,<blank>,<blank>,2025-04-24 07:52:45,course5,attachment,0,course5,closed,1,0,inherit,<blank>,<blank>,0,2025-04-24 07:52:45,2025-04-24 07:52:45,<blank>,open,image/jpeg,2025-04-24 07:52:45,<blank>
9,https://echallan.ccl.edu.pk/wp-content/uploads/2025/04/about2.png,<blank>,<blank>,2025-04-24 07:52:45,about2,attachment,0,about2,closed,1,0,inherit,<blank>,<blank>,0,2025-04-24 07:52:45,2025-04-24 07:52:45,<blank>,open,image/png,2025-04-24 07:52:45,<blank>
10,https://echallan.ccl.edu.pk/wp-content/uploads/2025/04/bg.png,<blank>,<blank>,2025-04-24 07:52:45,bg,attachment,0,bg,closed,1,0,inherit,<blank>,<blank>,0,2025-04-24 07:52:45,2025-04-24 07:52:45,<blank>,open,image/png,2025-04-24 07:52:45,<blank>
11,https://echallan.ccl.edu.pk/wp-content/uploads/2025/04/about3.jpg,<blank>,<blank>,2025-04-24 07:52:46,about3,attachment,0,about3,closed,1,0,inherit,<blank>,<blank>,0,2025-04-24 07:52:46,2025-04-24 07:52:46,<blank>,open,image/jpeg,2025-04-24 07:52:46,<blank>
