VARIABLE_NAME,VARIABLE_VALUE
BINLOG_ANNOTATE_ROW_EVENTS,ON
PERFORMANCE_SCHEMA,OFF
SQL_MODE,"STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION"
SYSTEM_VERSIONING_ALTER_HISTORY,ERROR
SQL_IF_EXISTS,OFF
PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_SIZE,-1
QUERY_ALLOC_BLOCK_SIZE,32768
PERFORMANCE_SCHEMA_MAX_COND_CLASSES,90
PERFORMANCE_SCHEMA_MAX_FILE_HANDLES,32768
PERFORMANCE_SCHEMA_MAX_COND_INSTANCES,-1
INNODB_FLUSH_LOG_AT_TIMEOUT,1
PERFORMANCE_SCHEMA_MAX_RWLOCK_INSTANCES,-1
INNODB_ENCRYPT_TEMPORARY_TABLES,OFF
PERFORMANCE_SCHEMA_MAX_PREPARED_STATEMENTS_INSTANCES,-1
SLAVE_EXEC_MODE,STRICT
PERFORMANCE_SCHEMA_MAX_STATEMENT_STACK,10
PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_LONG_SIZE,-1
PERFORMANCE_SCHEMA_MAX_MUTEX_INSTANCES,-1
LOG_BIN_INDEX,<blank>
KEY_CACHE_FILE_HASH_SIZE,512
INNODB_STATS_TRANSIENT_SAMPLE_PAGES,8
SQL_LOG_BIN,ON
SLOW_LAUNCH_TIME,2
PERFORMANCE_SCHEMA_MAX_RWLOCK_CLASSES,50
LOG_SLOW_MAX_WARNINGS,10
INNODB_LOG_WRITE_AHEAD_SIZE,8192
INNODB_ADAPTIVE_HASH_INDEX_PARTS,8
PERFORMANCE_SCHEMA_ACCOUNTS_SIZE,-1
THREAD_POOL_OVERSUBSCRIBE,3
PERFORMANCE_SCHEMA_SETUP_OBJECTS_SIZE,-1
NET_BUFFER_LENGTH,16384
WSREP_STRICT_DDL,OFF
INNODB_FT_NUM_WORD_OPTIMIZE,2000
PERFORMANCE_SCHEMA_MAX_INDEX_STAT,-1
WSREP_DRUPAL_282555_WORKAROUND,OFF
PERFORMANCE_SCHEMA_MAX_MUTEX_CLASSES,210
TMP_MEMORY_TABLE_SIZE,16777216
PERFORMANCE_SCHEMA_EVENTS_TRANSACTIONS_HISTORY_LONG_SIZE,-1
REPORT_HOST,<blank>
PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_SIZE,-1
INNODB_SORT_BUFFER_SIZE,1048576
PERFORMANCE_SCHEMA_MAX_STAGE_CLASSES,160
SLAVE_PARALLEL_THREADS,0
VERSION_SOURCE_REVISION,066e8d6aeabc13242193780341e0f845528105de
LARGE_FILES_SUPPORT,ON
PERFORMANCE_SCHEMA_SETUP_ACTORS_SIZE,-1
VERSION_SSL_LIBRARY,OpenSSL 1.1.1k  FIPS 25 Mar 2021
FT_STOPWORD_FILE,(built-in)
WSREP_AUTO_INCREMENT_CONTROL,ON
COLLATION_CONNECTION,latin1_swedish_ci
BACK_LOG,70
FT_MAX_WORD_LEN,84
GROUP_CONCAT_MAX_LEN,1048576
BINLOG_FILE_CACHE_SIZE,16384
RANGE_ALLOC_BLOCK_SIZE,4096
EXPIRE_LOGS_DAYS,0.000000
MAX_DIGEST_LENGTH,1024
BIND_ADDRESS,127.0.0.1
INNODB_TMPDIR,<blank>
PERFORMANCE_SCHEMA_EVENTS_TRANSACTIONS_HISTORY_SIZE,-1
INNODB_ENCRYPTION_THREADS,0
OPTIMIZER_TRACE_MAX_MEM_SIZE,1048576
MYISAM_RECOVER_OPTIONS,"BACKUP,QUICK"
BINLOG_FORMAT,MIXED
RPL_SEMI_SYNC_MASTER_TIMEOUT,10000
DATADIR,/var/lib/mysql/
LOW_PRIORITY_UPDATES,OFF
CHARACTER_SET_RESULTS,latin1
REPORT_PASSWORD,<blank>
FT_MIN_WORD_LEN,4
WSREP_DBUG_OPTION,<blank>
CHARACTER_SET_CONNECTION,latin1
SQL_BIG_SELECTS,ON
DELAY_KEY_WRITE,ON
TRANSACTION_ALLOC_BLOCK_SIZE,8192
PERFORMANCE_SCHEMA_MAX_PROGRAM_INSTANCES,-1
INNODB_FLUSHING_AVG_LOOPS,30
EXPLICIT_DEFAULTS_FOR_TIMESTAMP,OFF
SYNC_FRM,ON
COMPLETION_TYPE,NO_CHAIN
BINLOG_ROW_METADATA,NO_LOG
BINLOG_STMT_CACHE_SIZE,32768
ARIA_PAGE_CHECKSUM,ON
RPL_SEMI_SYNC_MASTER_ENABLED,OFF
INNODB_IO_CAPACITY_MAX,2000
EVENT_SCHEDULER,OFF
INNODB_IO_CAPACITY,200
PERFORMANCE_SCHEMA_HOSTS_SIZE,-1
WSREP_CLUSTER_ADDRESS,<blank>
MAX_DELAYED_THREADS,20
INNODB_LOG_GROUP_HOME_DIR,./
COLUMN_COMPRESSION_ZLIB_LEVEL,6
HAVE_SSL,DISABLED
WSREP_TRX_FRAGMENT_SIZE,0
INNODB_COMPRESSION_DEFAULT,OFF
CORE_FILE,OFF
INNODB_AUTOEXTEND_INCREMENT,64
MAX_STATEMENT_TIME,0.000000
MYISAM_DATA_POINTER_SIZE,6
PERFORMANCE_SCHEMA_DIGESTS_SIZE,-1
RPL_SEMI_SYNC_SLAVE_DELAY_MASTER,OFF
FT_QUERY_EXPANSION_LIMIT,20
SQL_AUTO_IS_NULL,OFF
ARIA_USED_FOR_TEMP_TABLES,ON
DELAYED_INSERT_LIMIT,100
REPLICATE_DO_TABLE,<blank>
MAX_CONNECTIONS,100
WSREP_RETRY_AUTOCOMMIT,1
AUTOMATIC_SP_PRIVILEGES,ON
INNODB_STATUS_OUTPUT_LOCKS,OFF
