DATA_FREE,CHECK_TIME,TABLE_ROWS,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,NODEGROUP,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,AVG_ROW_LENGTH,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
0,NULL,0,NULL,2025-05-13 12:42:47,8192,2025-05-13 12:42:47,<blank>,8192,information_schema,ALL_PLUGINS,def,NULL,4503599627288576,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,APPLICABLE_ROLES,def,NULL,16743935,NULL,NULL,1565,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,CHARACTER_SETS,def,NULL,16433664,NULL,NULL,384,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,8192,2025-05-13 12:42:47,<blank>,8192,information_schema,CHECK_CONSTRAINTS,def,NULL,4503599627288576,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,COLLATIONS,def,NULL,16703841,NULL,NULL,231,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,COLLATION_CHARACTER_SET_APPLICABILITY,def,NULL,16356600,NULL,NULL,195,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,8192,2025-05-13 12:42:47,<blank>,8192,information_schema,COLUMNS,def,NULL,4503599627288576,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,COLUMN_PRIVILEGES,def,NULL,16763960,NULL,NULL,3478,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,ENABLED_ROLES,def,NULL,16604848,NULL,NULL,388,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,ENGINES,def,NULL,16684476,NULL,NULL,732,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
