READ_ONLY,GLOBAL_VALUE,DEFAULT_VALUE,SESSION_VALUE,VARIABLE_NAME,VARIABLE_TYPE,VARIABLE_SCOPE,ENUM_VALUE_LIST,VARIABLE_COMMENT,GLOBAL_VALUE_PATH,NUMERIC_MAX_VALUE,NUMERIC_MIN_VALUE,NUMERIC_BLOCK_SIZE,GLOBAL_VALUE_ORIGIN,COMMAND_LINE_ARGUMENT
NO,ON,ON,ON,BINLOG_ANNOTATE_ROW_EVENTS,BOOLEAN,SESSION,"OFF,ON",Tells the master to annotate RBR events with the statement that caused these events,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,"STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION","STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION","STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION",SQL_MODE,SET,SESSION,"REAL_AS_FLOAT,PIPES_AS_CONCAT,ANSI_QUOTES,IGNORE_SPACE,IGNORE_BAD_TABLE_OPTIONS,ONLY_FULL_GROUP_BY,NO_UNSIGNED_SUBTRACTION,NO_DIR_IN_CREATE,POSTGRESQL,ORACLE,MSSQL,DB2,MAXDB,NO_KEY_OPTIONS,NO_TABLE_OPTIONS,NO_FIELD_OPTIONS,MYSQL323,MYSQL40,ANSI,NO_AUTO_VALUE_ON_ZERO,NO_BACKSLASH_ESCAPES,STRICT_TRANS_TABLES,STRICT_ALL_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ALLOW_INVALID_DATES,ERROR_FOR_DIVISION_BY_ZERO,TRADITIONAL,NO_AUTO_CREATE_USER,HIGH_NOT_PRECEDENCE,NO_ENGINE_SUBSTITUTION,PAD_CHAR_TO_FULL_LENGTH,EMPTY_STRING_IS_NULL,SIMULTANEOUS_ASSIGNMENT,TIME_ROUND_FRACTIONAL",Sets the sql mode,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,ERROR,ERROR,ERROR,SYSTEM_VERSIONING_ALTER_HISTORY,ENUM,SESSION,"ERROR,KEEP",Versioning ALTER TABLE mode. ERROR: Fail ALTER with error; KEEP: Keep historical system rows and subject them to ALTER,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,SQL_IF_EXISTS,BOOLEAN,SESSION,"OFF,ON","If set to 1 adds an implicate IF EXISTS to ALTER, RENAME and DROP of TABLES, VIEWS, FUNCTIONS and PACKAGES",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,32768,32768,32768,QUERY_ALLOC_BLOCK_SIZE,BIGINT UNSIGNED,SESSION,NULL,Allocation block size for query parsing and execution,NULL,4294967295,1024,1024,COMPILE-TIME,REQUIRED
NO,1,1,NULL,INNODB_FLUSH_LOG_AT_TIMEOUT,INT UNSIGNED,GLOBAL,NULL,Write and flush logs every (n) second.,NULL,2700,0,0,COMPILE-TIME,OPTIONAL
NO,STRICT,STRICT,NULL,SLAVE_EXEC_MODE,ENUM,GLOBAL,"STRICT,IDEMPOTENT","How replication events should be executed. Legal values are STRICT (default) and IDEMPOTENT. In IDEMPOTENT mode, replication will not stop for operations that are idempotent. For example, in row based replication attempts to delete rows that doesn't exist will be ignored. In STRICT mode, replication will stop on any unexpected difference between the master and the slave.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,512,512,NULL,KEY_CACHE_FILE_HASH_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Number of hash buckets for open and changed files.  If you have a lot of MyISAM files open you should increase this for faster flush of changes. A good value is probably 1/10 of number of possible open MyISAM files.,NULL,16384,128,1,COMPILE-TIME,REQUIRED
NO,8,8,NULL,INNODB_STATS_TRANSIENT_SAMPLE_PAGES,BIGINT UNSIGNED,GLOBAL,NULL,"The number of leaf index pages to sample when calculating transient statistics (if persistent statistics are not used, default 8)",NULL,18446744073709551615,1,0,COMPILE-TIME,REQUIRED
NO,ON,ON,ON,SQL_LOG_BIN,BOOLEAN,SESSION,"OFF,ON","If set to 0 (1 is the default), no logging to the binary log is done for the client. Only clients with the SUPER privilege can update this variable. Can have unintended consequences if set globally, see SET SQL_LOG_BIN. Starting MariaDB 10.1.7, this variable does not affect the replication of events in a Galera cluster.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,2,2,NULL,SLOW_LAUNCH_TIME,BIGINT UNSIGNED,GLOBAL,NULL,"If creating the thread takes longer than this value (in seconds), the Slow_launch_threads counter will be incremented",NULL,31536000,0,1,COMPILE-TIME,REQUIRED
NO,10,10,10,LOG_SLOW_MAX_WARNINGS,BIGINT UNSIGNED,SESSION,NULL,Max numbers of warnings printed to slow query log per statement,NULL,1000,0,1,COMPILE-TIME,REQUIRED
NO,8192,8192,NULL,INNODB_LOG_WRITE_AHEAD_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,"Redo log write ahead unit size to avoid read-on-write, it should match the OS cache block IO size",NULL,16384,512,512,COMPILE-TIME,REQUIRED
NO,3,3,NULL,THREAD_POOL_OVERSUBSCRIBE,INT UNSIGNED,GLOBAL,NULL,How many additional active worker threads in a group are allowed.,NULL,1000,1,1,COMPILE-TIME,REQUIRED
NO,16384,16384,16384,NET_BUFFER_LENGTH,BIGINT UNSIGNED,SESSION,NULL,Buffer length for TCP/IP and socket communication,NULL,1048576,1024,1024,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,WSREP_STRICT_DDL,BOOLEAN,GLOBAL,"OFF,ON","If set, reject DDL on affected tables not supporting Galera replication",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,2000,2000,NULL,INNODB_FT_NUM_WORD_OPTIMIZE,BIGINT UNSIGNED,GLOBAL,NULL,InnoDB Fulltext search number of words to optimize for each optimize table call ,NULL,10000,1000,0,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,WSREP_DRUPAL_282555_WORKAROUND,BOOLEAN,GLOBAL,"OFF,ON",Enable a workaround to handle the cases where inserting a DEFAULT value into an auto-increment column could fail with duplicate key error,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,16777216,16777216,16777216,TMP_MEMORY_TABLE_SIZE,BIGINT UNSIGNED,SESSION,NULL,"If an internal in-memory temporary table exceeds this size, MariaDB will automatically convert it to an on-disk MyISAM or Aria table. Same as tmp_table_size.",NULL,18446744073709551615,0,16384,COMPILE-TIME,REQUIRED
NO,0,0,NULL,SLAVE_PARALLEL_THREADS,BIGINT UNSIGNED,GLOBAL,NULL,"If non-zero, number of threads to spawn to apply in parallel events on the slave that were group-committed on the master or were logged with GTID in different replication domains. Note that these threads are in addition to the IO and SQL threads, which are always created by a replication slave",NULL,16383,0,1,COMPILE-TIME,REQUIRED
NO,ON,ON,NULL,WSREP_AUTO_INCREMENT_CONTROL,BOOLEAN,GLOBAL,"OFF,ON",To automatically control the assignment of autoincrement variables,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,latin1_swedish_ci,latin1_swedish_ci,latin1_swedish_ci,COLLATION_CONNECTION,ENUM,SESSION,NULL,The collation of the connection character set,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,1048576,1048576,1048576,GROUP_CONCAT_MAX_LEN,INT UNSIGNED,SESSION,NULL,The maximum length of the result of function GROUP_CONCAT(),NULL,4294967295,4,1,COMPILE-TIME,REQUIRED
NO,16384,16384,NULL,BINLOG_FILE_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,The size of file cache for the binary log,NULL,18446744073709551615,8192,4096,COMPILE-TIME,REQUIRED
NO,4096,4096,4096,RANGE_ALLOC_BLOCK_SIZE,BIGINT UNSIGNED,SESSION,NULL,Allocation block size for storing ranges during optimization,NULL,4294967295,4096,1024,COMPILE-TIME,REQUIRED
NO,0.000000,0.000000,NULL,EXPIRE_LOGS_DAYS,DOUBLE,GLOBAL,NULL,"If non-zero, binary logs will be purged after expire_logs_days days; It and binlog_expire_logs_seconds are linked, such that changes in one are converted into the other, presentable as a decimal value with 1/1000000 of the day precision; possible purges happen at startup and at binary log rotation",NULL,99,0,NULL,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,<blank>,INNODB_TMPDIR,VARCHAR,SESSION,NULL,Directory for temporary non-tablespace files.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,0,0,NULL,INNODB_ENCRYPTION_THREADS,INT UNSIGNED,GLOBAL,NULL,Number of threads performing background key rotation ,NULL,255,0,0,COMPILE-TIME,REQUIRED
NO,1048576,1048576,1048576,OPTIMIZER_TRACE_MAX_MEM_SIZE,BIGINT UNSIGNED,SESSION,NULL,Maximum allowed size of an optimizer trace,NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,MIXED,MIXED,MIXED,BINLOG_FORMAT,ENUM,SESSION,"MIXED,STATEMENT,ROW","What form of binary logging the master will use: either ROW for row-based binary logging, STATEMENT for statement-based binary logging, or MIXED. MIXED is statement-based binary logging except for those statements where only row-based is correct: those which involve user-defined functions (i.e. UDFs) or the UUID() function; for those, row-based binary logging is automatically used.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,10000,10000,NULL,RPL_SEMI_SYNC_MASTER_TIMEOUT,BIGINT UNSIGNED,GLOBAL,NULL,The timeout value (in ms) for semi-synchronous replication in the master,NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,LOW_PRIORITY_UPDATES,BOOLEAN,SESSION,"OFF,ON",INSERT/DELETE/UPDATE has lower priority than selects,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,latin1,latin1,latin1,CHARACTER_SET_RESULTS,ENUM,SESSION,NULL,The character set used for returning query results to the client,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,<blank>,<blank>,NULL,WSREP_DBUG_OPTION,VARCHAR,GLOBAL,NULL,DBUG options to provider library,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,latin1,latin1,latin1,CHARACTER_SET_CONNECTION,ENUM,SESSION,NULL,The character set used for literals that do not have a character set introducer and for number-to-string conversion,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,ON,OFF,ON,SQL_BIG_SELECTS,BOOLEAN,SESSION,"OFF,ON","If set to 0, MariaDB will not perform large SELECTs. See max_join_size for details. If max_join_size is set to anything but DEFAULT, sql_big_selects is automatically set to 0. If sql_big_selects is again set, max_join_size will be ignored.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,ON,ON,NULL,DELAY_KEY_WRITE,ENUM,GLOBAL,"OFF,ON,ALL","Specifies how MyISAM tables handles CREATE TABLE DELAY_KEY_WRITE. If set to ON, the default, any DELAY KEY WRITEs are honored. The key buffer is then flushed only when the table closes, speeding up writes. MyISAM tables should be automatically checked upon startup in this case, and --external locking should not be used, as it can lead to index corruption. If set to OFF, DELAY KEY WRITEs are ignored, while if set to ALL, all new opened tables are treated as if created with DELAY KEY WRITEs enabled.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,8192,8192,8192,TRANSACTION_ALLOC_BLOCK_SIZE,BIGINT UNSIGNED,SESSION,NULL,Allocation block size for transactions to be stored in binary log,NULL,134217728,1024,1024,COMPILE-TIME,REQUIRED
NO,30,30,NULL,INNODB_FLUSHING_AVG_LOOPS,BIGINT UNSIGNED,GLOBAL,NULL,Number of iterations over which the background flushing is averaged.,NULL,1000,1,0,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,EXPLICIT_DEFAULTS_FOR_TIMESTAMP,BOOLEAN,SESSION,"OFF,ON","This option causes CREATE TABLE to create all TIMESTAMP columns as NULL with DEFAULT NULL attribute, Without this option, TIMESTAMP columns are NOT NULL and have implicit DEFAULT clauses.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,NULL,SYNC_FRM,BOOLEAN,GLOBAL,"OFF,ON",Sync .frm files to disk on creation,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
