ENGINE,DATA_FREE,VERSION,CHECK_TIME,TABLE_ROWS,TABLE_TYPE,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,ROW_FORMAT,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH,AUTO_INCREMENT,AVG_ROW_LENGTH
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:27,8192,2025-05-13 12:53:27,Y,8192,information_schema,Page,ROUTINES,def,<blank>,max_rows=621353546002073 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:28,8192,2025-05-13 12:53:28,Y,8192,information_schema,Page,VIEWS,def,<blank>,max_rows=5464082960222023 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:29,8192,2025-05-13 12:53:29,Y,8192,information_schema,Page,ALL_PLUGINS,def,<blank>,max_rows=10340103180330466 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:30,8192,2025-05-13 12:53:30,Y,8192,information_schema,Page,PARTITIONS,def,<blank>,max_rows=6148914691236517 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:31,8192,2025-05-13 12:53:31,Y,8192,information_schema,Page,OPTIMIZER_TRACE,def,<blank>,max_rows=576460752303423487 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:32,8192,2025-05-13 12:53:32,Y,8192,information_schema,Page,PLUGINS,def,<blank>,max_rows=10340103180330466 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:33,8192,2025-05-13 12:53:33,Y,8192,information_schema,Page,PARTITIONS,def,<blank>,max_rows=6148914691236517 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:34,8192,2025-05-13 12:53:34,Y,8192,information_schema,Page,CHECK_CONSTRAINTS,def,<blank>,max_rows=8571907097448676 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:35,8192,2025-05-13 12:53:35,Y,8192,information_schema,Page,ROUTINES,def,<blank>,max_rows=621353546002073 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:36,8192,2025-05-13 12:53:36,Y,8192,information_schema,Page,CHECK_CONSTRAINTS,def,<blank>,max_rows=8571907097448676 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:37,8192,2025-05-13 12:53:37,Y,8192,information_schema,Page,CHECK_CONSTRAINTS,def,<blank>,max_rows=8571907097448676 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:38,8192,2025-05-13 12:53:38,Y,8192,information_schema,Page,PARTITIONS,def,<blank>,max_rows=6148914691236517 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-05-13 12:53:39,8192,2025-05-13 12:53:39,Y,8192,information_schema,Page,SYSTEM_VARIABLES,def,<blank>,max_rows=578050390878338 transactional=0,4503599627288576,utf8mb3_general_ci,137438945280,NULL,0
InnoDB,0,10,NULL,0,BASE TABLE,NULL,2024-11-01 06:53:52,16384,NULL,N,32768,ccledu_next480,Dynamic,oc_richdocuments_direct,def,<blank>,<blank>,0,utf8mb4_bin,0,8,0
InnoDB,0,10,NULL,13,BASE TABLE,NULL,2025-02-08 08:44:35,16384,NULL,N,0,ccledu_lumahsi,Dynamic,facilities,def,<blank>,<blank>,0,utf8mb4_general_ci,0,14,1260
