TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG
ccledu_next480,oc_external_options,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_external_options,UNIQUE,option_mount_key,ccledu_next480,def
ccledu_next480,oc_addressbooks,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_addressbooks,UNIQUE,addressbook_index,ccledu_next480,def
ccledu_next480,oc_circles_member,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_external_applicable,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_external_applicable,UNIQUE,applicable_type_value_mount,ccledu_next480,def
ccledu_next480,oc_ratelimit_entries,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_systemtag_group,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_notifications_settings,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_notifications_settings,UNIQUE,notset_user,ccledu_next480,def
ccledu_next480,oc_group_user,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_systemtag_object_mapping,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_mounts,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_mountpoint,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_taskprocessing_tasks,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_remote,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_remote,UNIQUE,UNIQ_F94EF834230B1DE,ccledu_next480,def
ccledu_next480,oc_ex_occ_commands,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_occ_commands,UNIQUE,ex_occ_commands__idx,ccledu_next480,def
ccledu_next480,oc_ex_occ_commands,CHECK,arguments,ccledu_next480,def
ccledu_next480,oc_ex_occ_commands,CHECK,options,ccledu_next480,def
ccledu_next480,oc_ex_occ_commands,CHECK,usages,ccledu_next480,def
ccledu_next480,oc_ex_apps_daemons,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_apps_daemons,UNIQUE,ex_apps_daemons__name,ccledu_next480,def
ccledu_next480,oc_ex_apps_daemons,CHECK,deploy_config,ccledu_next480,def
ccledu_next480,oc_users,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_states,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_states,UNIQUE,ui_state__idx,ccledu_next480,def
ccledu_next480,oc_ex_ui_states,CHECK,value,ccledu_next480,def
ccledu_next480,oc_ex_event_handlers,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_event_handlers,UNIQUE,ex_event_handlers__idx,ccledu_next480,def
ccledu_next480,oc_ex_event_handlers,CHECK,event_subtypes,ccledu_next480,def
ccledu_next480,oc_ex_speech_to_text,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_speech_to_text,UNIQUE,speech_to_text__idx,ccledu_next480,def
ccledu_next480,oc_twofactor_providers,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_top_menu,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_top_menu,UNIQUE,ui_top_menu__idx,ccledu_next480,def
ccledu_next480,oc_ex_task_processing,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_task_processing,UNIQUE,task_processing_idx,ccledu_next480,def
ccledu_next480,oc_ex_text_processing_q,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_webhook_listeners,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarchanges,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarsubscriptions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarsubscriptions,UNIQUE,calsub_index,ccledu_next480,def
ccledu_next480,oc_dav_shares,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_dav_shares,UNIQUE,dav_shares_index,ccledu_next480,def
ccledu_next480,oc_jobs,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_accounts,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_notifications_pushhash,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_notifications_pushhash,UNIQUE,oc_npushhash_uid,ccledu_next480,def
ccledu_next480,oc_dav_absence,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_dav_absence,UNIQUE,dav_absence_uid_idx,ccledu_next480,def
ccledu_next480,oc_migrations,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_invitations,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_flow_operations,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_external_mounts,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_group_admin,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendars,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendars,UNIQUE,calendars_index,ccledu_next480,def
ccledu_next480,oc_vcategory_to_object,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_trash,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_cards_properties,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_settings_forms,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_settings_forms,UNIQUE,ex_settings_forms__idx,ccledu_next480,def
ccledu_next480,oc_ex_settings_forms,CHECK,scheme,ccledu_next480,def
ccledu_next480,oc_share_external,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_share_external,UNIQUE,sh_external_mp,ccledu_next480,def
ccledu_next480,oc_shares_limits,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_external_config,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_external_config,UNIQUE,config_mount_key,ccledu_next480,def
ccledu_next480,oc_photos_albums,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_directlink,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_rooms,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_collres_collections,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarobjects,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarobjects,UNIQUE,calobjects_index,ccledu_next480,def
ccledu_next480,oc_calendar_resources,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_direct_edit,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_recent_contact,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_whats_new,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_whats_new,UNIQUE,version,ccledu_next480,def
ccledu_next480,oc_ex_ui_files_actions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_files_actions,UNIQUE,ex_ui_files_actions__idx,ccledu_next480,def
ccledu_next480,oc_photos_albums_files,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_photos_albums_files,UNIQUE,paf_album_file,ccledu_next480,def
ccledu_next480,oc_notifications,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_share_lock,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_share_lock,UNIQUE,UNIQ_337F52F8126F525E70EE2FF6,ccledu_next480,def
ccledu_next480,oc_webauthn,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_comments,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_appt_bookings,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_appt_bookings,UNIQUE,cal_appt_bk_token_uniq_idx,ccledu_next480,def
ccledu_next480,oc_photos_albums_collabs,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_photos_albums_collabs,UNIQUE,album_collabs_uniq_collab,ccledu_next480,def
ccledu_next480,oc_filecache_extended,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_text_steps,PRIMARY KEY,PRIMARY,ccledu_next480,def
